date,APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba(13118),APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba Elevadora(25567)
2020-12-17 18:53:01-03:00,1.0,
2020-12-17 18:53:04-03:00,1.0,
2020-12-17 18:58:01-03:00,1.0,
2020-12-17 18:58:04-03:00,1.0,
2020-12-17 19:03:01-03:00,1.0,
2020-12-17 19:03:04-03:00,1.0,
2020-12-17 19:08:00-03:00,1.0,
2020-12-17 19:08:02-03:00,1.0,
2020-12-17 19:13:00-03:00,1.0,
2020-12-17 19:13:03-03:00,1.0,
2020-12-17 19:18:01-03:00,1.0,
2020-12-17 19:18:03-03:00,1.0,
2020-12-17 19:23:01-03:00,1.0,
2020-12-17 19:23:03-03:00,1.0,
2020-12-17 19:28:01-03:00,1.0,
2020-12-17 19:28:04-03:00,1.0,
2020-12-17 19:33:02-03:00,1.0,
2020-12-17 19:33:04-03:00,1.0,
2020-12-17 19:38:02-03:00,1.0,
2020-12-17 19:38:04-03:00,1.0,
2020-12-17 19:43:02-03:00,1.0,
2020-12-17 19:43:05-03:00,1.0,
2020-12-17 19:48:02-03:00,1.0,
2020-12-17 19:48:05-03:00,1.0,
2020-12-17 19:53:03-03:00,1.0,
2020-12-17 19:53:05-03:00,1.0,
2020-12-17 19:58:03-03:00,1.0,
2020-12-17 19:58:06-03:00,1.0,
2020-12-17 20:03:04-03:00,1.0,
2020-12-17 20:03:06-03:00,1.0,
2020-12-17 20:08:05-03:00,1.0,
2020-12-17 20:08:07-03:00,1.0,
2020-12-17 20:13:05-03:00,1.0,
2020-12-17 20:13:07-03:00,1.0,
2020-12-17 20:18:06-03:00,1.0,
2020-12-17 20:18:07-03:00,1.0,
2020-12-17 20:23:06-03:00,1.0,
2020-12-17 20:23:08-03:00,1.0,
2020-12-17 20:28:07-03:00,1.0,
2020-12-17 20:28:10-03:00,1.0,
2020-12-17 20:33:07-03:00,1.0,
2020-12-17 20:33:10-03:00,1.0,
2020-12-17 20:38:07-03:00,1.0,
2020-12-17 20:38:10-03:00,1.0,
2020-12-17 20:43:07-03:00,1.0,
2020-12-17 20:43:11-03:00,1.0,
2020-12-17 20:48:08-03:00,1.0,
2020-12-17 20:48:11-03:00,1.0,
2020-12-17 20:53:08-03:00,1.0,
2020-12-17 20:53:11-03:00,1.0,
2020-12-17 20:58:08-03:00,1.0,
2020-12-17 20:58:11-03:00,1.0,
2020-12-17 21:03:09-03:00,1.0,
2020-12-17 21:03:12-03:00,1.0,
2020-12-17 21:08:09-03:00,1.0,
2020-12-17 21:08:12-03:00,1.0,
2020-12-17 21:13:09-03:00,1.0,
2020-12-17 21:13:12-03:00,1.0,
2020-12-17 21:18:10-03:00,1.0,
2020-12-17 21:18:13-03:00,1.0,
2020-12-17 21:23:10-03:00,1.0,
2020-12-17 21:23:13-03:00,1.0,
2020-12-17 21:28:10-03:00,1.0,
2020-12-17 21:28:13-03:00,1.0,
2020-12-17 21:33:11-03:00,1.0,
2020-12-17 21:33:13-03:00,1.0,
2020-12-17 21:38:11-03:00,1.0,
2020-12-17 21:38:14-03:00,1.0,
2020-12-17 21:43:11-03:00,1.0,
2020-12-17 21:43:14-03:00,1.0,
2020-12-17 21:48:11-03:00,1.0,
2020-12-17 21:48:14-03:00,1.0,
2020-12-17 21:53:12-03:00,1.0,
2020-12-17 21:53:15-03:00,1.0,
2020-12-17 21:58:12-03:00,1.0,
2020-12-17 21:58:15-03:00,1.0,
2020-12-17 22:03:12-03:00,1.0,
2020-12-17 22:03:15-03:00,1.0,
2020-12-17 22:08:13-03:00,1.0,
2020-12-17 22:08:16-03:00,1.0,
2020-12-17 22:13:13-03:00,1.0,
2020-12-17 22:13:16-03:00,1.0,
2020-12-17 22:18:13-03:00,1.0,
2020-12-17 22:18:16-03:00,1.0,
2020-12-17 22:23:14-03:00,1.0,
2020-12-17 22:23:16-03:00,1.0,
2020-12-17 22:28:14-03:00,1.0,
2020-12-17 22:28:17-03:00,1.0,
2020-12-17 22:33:14-03:00,1.0,
2020-12-17 22:33:17-03:00,1.0,
2020-12-17 22:38:14-03:00,1.0,
2020-12-17 22:38:17-03:00,1.0,
2020-12-17 22:43:15-03:00,1.0,
2020-12-17 22:43:18-03:00,1.0,
2020-12-17 22:48:15-03:00,1.0,
2020-12-17 22:48:18-03:00,1.0,
2020-12-17 22:53:15-03:00,1.0,
2020-12-17 22:53:18-03:00,1.0,
2020-12-17 22:58:16-03:00,1.0,
2020-12-17 22:58:19-03:00,1.0,
2020-12-17 23:03:16-03:00,1.0,
2020-12-17 23:03:19-03:00,1.0,
2020-12-17 23:08:16-03:00,1.0,
2020-12-17 23:08:19-03:00,1.0,
2020-12-17 23:13:17-03:00,1.0,
2020-12-17 23:13:19-03:00,1.0,
2020-12-17 23:18:17-03:00,1.0,
2020-12-17 23:18:20-03:00,1.0,
2020-12-17 23:23:17-03:00,1.0,
2020-12-17 23:23:20-03:00,1.0,
2020-12-17 23:28:17-03:00,1.0,
2020-12-17 23:28:20-03:00,1.0,
2020-12-17 23:33:18-03:00,1.0,
2020-12-17 23:33:21-03:00,1.0,
2020-12-17 23:38:18-03:00,1.0,
2020-12-17 23:38:21-03:00,1.0,
2020-12-17 23:43:18-03:00,1.0,
2020-12-17 23:43:21-03:00,1.0,
2020-12-17 23:48:19-03:00,1.0,
2020-12-17 23:48:22-03:00,1.0,
2020-12-17 23:53:19-03:00,1.0,
2020-12-17 23:53:22-03:00,1.0,
2020-12-17 23:58:19-03:00,1.0,
2020-12-17 23:58:22-03:00,1.0,
2020-12-18 00:03:20-03:00,1.0,
2020-12-18 00:03:23-03:00,1.0,
2020-12-18 00:08:20-03:00,1.0,
2020-12-18 00:08:23-03:00,1.0,
2020-12-18 00:13:20-03:00,1.0,
2020-12-18 00:13:23-03:00,1.0,
2020-12-18 00:18:21-03:00,1.0,
2020-12-18 00:18:23-03:00,1.0,
2020-12-18 00:23:21-03:00,1.0,
2020-12-18 00:23:24-03:00,1.0,
2020-12-18 00:28:21-03:00,1.0,
2020-12-18 00:28:24-03:00,1.0,
2020-12-18 00:33:21-03:00,1.0,
2020-12-18 00:33:24-03:00,1.0,
2020-12-18 00:38:22-03:00,1.0,
2020-12-18 00:38:25-03:00,1.0,
2020-12-18 00:43:22-03:00,1.0,
2020-12-18 00:43:25-03:00,1.0,
2020-12-18 00:48:22-03:00,1.0,
2020-12-18 00:48:25-03:00,1.0,
2020-12-18 00:53:23-03:00,1.0,
2020-12-18 00:53:26-03:00,1.0,
2020-12-18 00:58:23-03:00,1.0,
2020-12-18 00:58:26-03:00,1.0,
2020-12-18 01:03:23-03:00,1.0,
2020-12-18 01:03:26-03:00,1.0,
2020-12-18 01:08:24-03:00,1.0,
2020-12-18 01:08:27-03:00,1.0,
2020-12-18 01:13:24-03:00,1.0,
2020-12-18 01:13:27-03:00,1.0,
2020-12-18 01:18:24-03:00,1.0,
2020-12-18 01:18:27-03:00,1.0,
2020-12-18 01:23:24-03:00,1.0,
2020-12-18 01:23:27-03:00,1.0,
2020-12-18 01:28:25-03:00,1.0,
2020-12-18 01:28:28-03:00,1.0,
2020-12-18 01:33:25-03:00,1.0,
2020-12-18 01:33:28-03:00,1.0,
2020-12-18 01:38:25-03:00,1.0,
2020-12-18 01:38:28-03:00,1.0,
2020-12-18 01:43:26-03:00,1.0,
2020-12-18 01:43:29-03:00,1.0,
2020-12-18 01:48:26-03:00,1.0,
2020-12-18 01:48:29-03:00,1.0,
2020-12-18 01:53:26-03:00,1.0,
2020-12-18 01:53:29-03:00,1.0,
2020-12-18 01:58:27-03:00,1.0,
2020-12-18 01:58:30-03:00,1.0,
2020-12-18 02:03:27-03:00,1.0,
2020-12-18 02:03:30-03:00,1.0,
2020-12-18 02:08:27-03:00,1.0,
2020-12-18 02:08:30-03:00,1.0,
2020-12-18 02:13:28-03:00,1.0,
2020-12-18 02:13:30-03:00,1.0,
2020-12-18 02:18:28-03:00,1.0,
2020-12-18 02:18:31-03:00,1.0,
2020-12-18 02:23:28-03:00,1.0,
2020-12-18 02:23:31-03:00,1.0,
2020-12-18 02:28:28-03:00,1.0,
2020-12-18 02:28:31-03:00,1.0,
2020-12-18 02:33:29-03:00,1.0,
2020-12-18 02:33:32-03:00,1.0,
2020-12-18 02:38:29-03:00,1.0,
2020-12-18 02:38:32-03:00,1.0,
2020-12-18 02:43:29-03:00,1.0,
2020-12-18 02:43:32-03:00,1.0,
2020-12-18 02:48:30-03:00,1.0,
2020-12-18 02:48:33-03:00,1.0,
2020-12-18 02:53:30-03:00,1.0,
2020-12-18 02:53:33-03:00,1.0,
2020-12-18 02:58:30-03:00,1.0,
2020-12-18 02:58:33-03:00,1.0,
2020-12-18 03:03:31-03:00,1.0,
2020-12-18 03:03:34-03:00,1.0,
2020-12-18 03:08:31-03:00,1.0,
2020-12-18 03:08:34-03:00,1.0,
2020-12-18 03:13:31-03:00,1.0,
2020-12-18 03:13:34-03:00,1.0,
2020-12-18 03:18:31-03:00,1.0,
2020-12-18 03:18:34-03:00,1.0,
2020-12-18 03:23:32-03:00,1.0,
2020-12-18 03:23:35-03:00,1.0,
2020-12-18 03:28:32-03:00,1.0,
2020-12-18 03:28:35-03:00,1.0,
2020-12-18 03:33:32-03:00,1.0,
2020-12-18 03:33:35-03:00,1.0,
2020-12-18 03:38:33-03:00,1.0,
2020-12-18 03:38:36-03:00,1.0,
2020-12-18 03:43:33-03:00,1.0,
2020-12-18 03:43:36-03:00,1.0,
2020-12-18 03:48:33-03:00,1.0,
2020-12-18 03:48:36-03:00,1.0,
2020-12-18 03:53:34-03:00,1.0,
2020-12-18 03:53:37-03:00,1.0,
2020-12-18 03:58:34-03:00,1.0,
2020-12-18 03:58:37-03:00,1.0,
