date,APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 2(22804),APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 1(22793),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 2(22739),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 1(22728)
2020-12-01 10:57:53-03:00,,,0.0,0.0
2020-12-01 10:58:02-03:00,0.0,0.0,,
2020-12-01 11:02:53-03:00,,,0.0,0.0
2020-12-01 11:03:02-03:00,0.0,0.0,,
2020-12-01 11:07:54-03:00,,,0.0,0.0
2020-12-01 11:08:03-03:00,0.0,0.0,,
2020-12-01 11:12:54-03:00,,,0.0,0.0
2020-12-01 11:13:03-03:00,0.0,0.0,,
2020-12-01 11:17:54-03:00,,,0.0,0.0
2020-12-01 11:18:03-03:00,0.0,0.0,,
2020-12-01 11:22:54-03:00,,,0.0,0.0
2020-12-01 11:23:03-03:00,0.0,0.0,,
2020-12-01 11:27:55-03:00,,,0.0,0.0
2020-12-01 11:28:04-03:00,0.0,0.0,,
2020-12-01 11:32:55-03:00,,,0.0,0.0
2020-12-01 11:33:04-03:00,0.0,0.0,,
2020-12-01 11:37:55-03:00,,,0.0,0.0
2020-12-01 11:38:04-03:00,0.0,0.0,,
2020-12-01 11:42:56-03:00,,,0.0,0.0
2020-12-01 11:43:05-03:00,0.0,0.0,,
2020-12-01 11:47:56-03:00,,,0.0,0.0
2020-12-01 11:48:06-03:00,0.0,0.0,,
2020-12-01 11:52:56-03:00,,,0.0,0.0
2020-12-01 11:53:06-03:00,0.0,0.0,,
2020-12-01 11:57:57-03:00,,,0.0,0.0
2020-12-01 11:58:06-03:00,0.0,0.0,,
2020-12-01 12:02:57-03:00,,,0.0,0.0
2020-12-01 12:03:07-03:00,0.0,0.0,,
2020-12-01 12:07:57-03:00,,,0.0,0.0
2020-12-01 12:08:07-03:00,0.0,0.0,,
2020-12-01 12:12:58-03:00,,,0.0,0.0
2020-12-01 12:13:08-03:00,0.0,0.0,,
2020-12-01 12:17:58-03:00,,,0.0,0.0
2020-12-01 12:18:08-03:00,0.0,0.0,,
2020-12-01 12:22:58-03:00,,,0.0,0.0
2020-12-01 12:23:08-03:00,0.0,0.0,,
2020-12-01 12:27:59-03:00,,,0.0,0.0
2020-12-01 12:28:09-03:00,0.0,0.0,,
2020-12-01 12:32:59-03:00,,,0.0,0.0
2020-12-01 12:33:09-03:00,0.0,0.0,,
2020-12-01 12:37:59-03:00,,,0.0,0.0
2020-12-01 12:38:09-03:00,0.0,0.0,,
2020-12-01 12:43:00-03:00,,,0.0,0.0
2020-12-01 12:43:10-03:00,0.0,0.0,,
2020-12-01 12:48:00-03:00,,,0.0,0.0
2020-12-01 12:48:10-03:00,0.0,0.0,,
2020-12-01 12:53:00-03:00,,,0.0,0.0
2020-12-01 12:53:10-03:00,0.0,0.0,,
2020-12-01 12:58:01-03:00,,,0.0,0.0
2020-12-01 12:58:11-03:00,0.0,0.0,,
2020-12-01 13:03:01-03:00,,,0.0,0.0
2020-12-01 13:03:11-03:00,0.0,0.0,,
2020-12-01 13:08:01-03:00,,,0.0,0.0
2020-12-01 13:08:11-03:00,0.0,0.0,,
2020-12-01 13:13:02-03:00,,,0.0,0.0
2020-12-01 13:13:11-03:00,0.0,0.0,,
2020-12-01 13:18:02-03:00,,,0.0,0.0
2020-12-01 13:18:12-03:00,0.0,0.0,,
2020-12-01 13:23:02-03:00,,,0.0,0.0
2020-12-01 13:23:12-03:00,0.0,0.0,,
2020-12-01 13:28:02-03:00,,,0.0,0.0
2020-12-01 13:28:12-03:00,0.0,0.0,,
2020-12-01 13:33:03-03:00,,,0.0,0.0
2020-12-01 13:33:13-03:00,0.0,0.0,,
2020-12-01 13:38:03-03:00,,,0.0,0.0
2020-12-01 13:38:13-03:00,0.0,0.0,,
2020-12-01 13:43:03-03:00,,,0.0,0.0
2020-12-01 13:43:14-03:00,0.0,0.0,,
2020-12-01 13:48:04-03:00,,,0.0,0.0
2020-12-01 13:48:14-03:00,0.0,0.0,,
2020-12-01 13:53:04-03:00,,,0.0,0.0
2020-12-01 13:53:14-03:00,0.0,0.0,,
2020-12-01 13:58:04-03:00,,,0.0,0.0
2020-12-01 13:58:15-03:00,0.0,0.0,,
2020-12-01 14:03:05-03:00,,,0.0,0.0
2020-12-01 14:03:15-03:00,0.0,0.0,,
2020-12-01 14:08:06-03:00,,,0.0,0.0
2020-12-01 14:08:15-03:00,0.0,0.0,,
2020-12-01 14:13:06-03:00,,,0.0,0.0
2020-12-01 14:13:15-03:00,0.0,0.0,,
