date,APR Las Calderas RP1 >> Estanque Elevado 1 >> Volumen Salida Estanque Base(14135),APR Las Calderas RP1 >> Pozo Pedrero >> Volumen Pozo Pedrero(14069)
2020-12-01 13:13:12-03:00,94862.0,
2020-12-01 13:14:54-03:00,,8983.0
2020-12-01 13:18:13-03:00,94864.0,
2020-12-01 13:19:54-03:00,,8983.0
2020-12-01 13:23:13-03:00,94867.0,
2020-12-01 13:24:55-03:00,,8983.0
2020-12-01 13:28:13-03:00,94870.0,
2020-12-01 13:29:55-03:00,,8983.0
2020-12-01 13:33:14-03:00,94873.0,
2020-12-01 13:34:55-03:00,,8983.0
2020-12-01 13:38:14-03:00,94875.0,
2020-12-01 13:39:56-03:00,,8983.0
2020-12-01 13:43:14-03:00,94878.0,
2020-12-01 13:44:56-03:00,,8984.0
2020-12-01 13:48:15-03:00,94880.0,
2020-12-01 13:49:56-03:00,,8984.0
2020-12-01 13:53:15-03:00,94883.0,
2020-12-01 13:54:57-03:00,,8985.0
2020-12-01 13:58:15-03:00,94885.0,
2020-12-01 13:59:57-03:00,,8986.0
2020-12-01 14:03:17-03:00,94888.0,
2020-12-01 14:04:58-03:00,,8986.0
2020-12-01 14:08:16-03:00,94890.0,
2020-12-01 14:09:58-03:00,,8987.0
2020-12-01 14:13:16-03:00,94892.0,
2020-12-01 14:14:58-03:00,,8988.0
2020-12-01 14:18:17-03:00,94894.0,
2020-12-01 14:19:59-03:00,,8988.0
2020-12-01 14:23:17-03:00,94897.0,
2020-12-01 14:24:59-03:00,,8989.0
2020-12-01 14:28:17-03:00,94899.0,
2020-12-01 14:29:59-03:00,,8989.0
2020-12-01 14:33:18-03:00,94902.0,
2020-12-01 14:35:00-03:00,,8989.0
2020-12-01 14:38:18-03:00,94904.0,
2020-12-01 14:40:00-03:00,,8989.0
2020-12-01 14:43:18-03:00,94907.0,
2020-12-01 14:45:00-03:00,,8989.0
2020-12-01 14:48:19-03:00,94910.0,
2020-12-01 14:50:01-03:00,,8989.0
2020-12-01 14:53:19-03:00,94912.0,
2020-12-01 14:55:01-03:00,,8989.0
2020-12-01 14:58:19-03:00,94915.0,
2020-12-01 15:00:01-03:00,,8989.0
2020-12-01 15:03:19-03:00,94918.0,
2020-12-01 15:05:01-03:00,,8989.0
2020-12-01 15:08:20-03:00,94920.0,
2020-12-01 15:10:02-03:00,,8989.0
2020-12-01 15:13:20-03:00,94923.0,
2020-12-01 15:15:02-03:00,,8989.0
2020-12-01 15:18:20-03:00,94925.0,
2020-12-01 15:20:02-03:00,,8989.0
2020-12-01 15:23:21-03:00,94927.0,
2020-12-01 15:25:03-03:00,,8989.0
2020-12-01 15:28:21-03:00,94929.0,
2020-12-01 15:30:03-03:00,,8989.0
2020-12-01 15:33:21-03:00,94931.0,
2020-12-01 15:35:03-03:00,,8989.0
2020-12-01 15:38:22-03:00,94933.0,
2020-12-01 15:40:04-03:00,,8989.0
2020-12-01 15:43:22-03:00,94936.0,
2020-12-01 15:45:04-03:00,,8989.0
2020-12-01 15:48:22-03:00,94938.0,
2020-12-01 15:50:04-03:00,,8989.0
2020-12-01 15:53:23-03:00,94940.0,
2020-12-01 15:55:05-03:00,,8989.0
2020-12-01 15:58:23-03:00,94942.0,
2020-12-01 16:00:05-03:00,,8989.0
2020-12-01 16:03:24-03:00,94945.0,
2020-12-01 16:05:05-03:00,,8990.0
2020-12-01 16:08:24-03:00,94947.0,
2020-12-01 16:10:06-03:00,,8990.0
2020-12-01 16:13:24-03:00,94949.0,
2020-12-01 16:15:06-03:00,,8991.0
2020-12-01 16:18:24-03:00,94951.0,
2020-12-01 16:20:06-03:00,,8992.0
2020-12-01 16:23:25-03:00,94954.0,
2020-12-01 16:25:07-03:00,,8992.0
2020-12-01 16:28:25-03:00,94956.0,
2020-12-01 16:30:07-03:00,,8993.0
2020-12-01 16:33:25-03:00,94959.0,
2020-12-01 16:35:07-03:00,,8993.0
2020-12-01 16:38:26-03:00,94961.0,
2020-12-01 16:40:07-03:00,,8994.0
2020-12-01 16:43:26-03:00,94963.0,
2020-12-01 16:45:08-03:00,,8995.0
2020-12-01 16:48:26-03:00,94965.0,
2020-12-01 16:50:08-03:00,,8995.0
2020-12-01 16:53:27-03:00,94967.0,
2020-12-01 16:55:08-03:00,,8995.0
2020-12-01 16:58:27-03:00,94969.0,
2020-12-01 17:00:09-03:00,,8995.0
2020-12-01 17:03:27-03:00,94972.0,
2020-12-01 17:05:09-03:00,,8995.0
2020-12-01 17:08:28-03:00,94973.0,
2020-12-01 17:10:09-03:00,,8995.0
2020-12-01 17:13:28-03:00,94975.0,
2020-12-01 17:15:10-03:00,,8995.0
2020-12-01 17:18:28-03:00,94978.0,
2020-12-01 17:20:10-03:00,,8995.0
2020-12-01 17:23:29-03:00,94980.0,
2020-12-01 17:25:10-03:00,,8995.0
2020-12-01 17:28:29-03:00,94982.0,
2020-12-01 17:30:11-03:00,,8995.0
2020-12-01 17:33:29-03:00,94984.0,
2020-12-01 17:35:11-03:00,,8995.0
2020-12-01 17:38:29-03:00,94986.0,
2020-12-01 17:40:11-03:00,,8995.0
2020-12-01 17:43:30-03:00,94989.0,
2020-12-01 17:45:12-03:00,,8995.0
2020-12-01 17:48:30-03:00,94992.0,
2020-12-01 17:50:12-03:00,,8995.0
2020-12-01 17:53:30-03:00,94994.0,
2020-12-01 17:55:12-03:00,,8995.0
2020-12-01 17:58:31-03:00,94997.0,
2020-12-01 18:00:12-03:00,,8995.0
2020-12-01 18:03:31-03:00,95000.0,
2020-12-01 18:05:13-03:00,,8995.0
2020-12-01 18:08:32-03:00,95003.0,
2020-12-01 18:10:14-03:00,,8995.0
2020-12-01 18:13:32-03:00,95006.0,
2020-12-01 18:15:14-03:00,,8995.0
2020-12-01 18:18:32-03:00,95009.0,
2020-12-01 18:20:14-03:00,,8995.0
2020-12-01 18:23:33-03:00,95012.0,
2020-12-01 18:25:15-03:00,,8995.0
2020-12-01 18:28:33-03:00,95015.0,
2020-12-01 18:30:15-03:00,,8995.0
2020-12-01 18:33:33-03:00,95018.0,
2020-12-01 18:35:15-03:00,,8996.0
2020-12-01 18:38:34-03:00,95020.0,
2020-12-01 18:40:16-03:00,,8997.0
2020-12-01 18:43:34-03:00,95023.0,
2020-12-01 18:45:16-03:00,,8997.0
2020-12-01 18:48:34-03:00,95025.0,
2020-12-01 18:50:16-03:00,,8998.0
2020-12-01 18:53:34-03:00,95028.0,
2020-12-01 18:55:17-03:00,,8999.0
2020-12-01 18:58:35-03:00,95031.0,
2020-12-01 19:00:17-03:00,,8999.0
2020-12-01 19:03:35-03:00,95033.0,
2020-12-01 19:05:17-03:00,,9000.0
