date,APR Los Cerrillos >> Pozo >> Caudal Pozo(12775)
2020-12-09 13:06:36-03:00,0.0
2020-12-09 13:11:31-03:00,0.0
2020-12-09 13:11:36-03:00,0.0
2020-12-09 13:16:31-03:00,0.0
2020-12-09 13:16:37-03:00,0.0
2020-12-09 13:21:31-03:00,0.0
2020-12-09 13:21:37-03:00,0.0
2020-12-09 13:26:32-03:00,9.09
2020-12-09 13:27:17-03:00,9.09
2020-12-09 13:27:19-03:00,9.09
2020-12-09 13:32:18-03:00,9.09
2020-12-09 13:32:20-03:00,9.09
2020-12-09 13:37:18-03:00,9.09
2020-12-09 13:37:20-03:00,9.09
2020-12-09 13:42:18-03:00,9.09
2020-12-09 13:42:20-03:00,9.09
2020-12-09 13:47:19-03:00,9.09
2020-12-09 13:47:21-03:00,9.09
2020-12-09 13:52:19-03:00,9.09
2020-12-09 13:52:21-03:00,9.09
2020-12-09 13:57:20-03:00,9.09
2020-12-09 13:57:21-03:00,9.09
2020-12-09 14:02:20-03:00,9.09
2020-12-09 14:02:21-03:00,9.09
2020-12-09 14:07:20-03:00,9.09
2020-12-09 14:07:22-03:00,9.09
2020-12-09 14:12:20-03:00,9.09
2020-12-09 14:12:22-03:00,9.09
2020-12-09 14:17:21-03:00,9.09
2020-12-09 14:17:22-03:00,9.09
2020-12-09 14:22:21-03:00,9.09
2020-12-09 14:22:23-03:00,9.09
2020-12-09 14:27:21-03:00,9.09
2020-12-09 14:27:23-03:00,9.09
2020-12-09 14:32:22-03:00,9.09
2020-12-09 14:32:23-03:00,9.09
2020-12-09 14:37:22-03:00,9.09
2020-12-09 14:37:24-03:00,9.09
2020-12-09 14:42:22-03:00,9.09
2020-12-09 14:42:24-03:00,9.09
2020-12-09 14:47:23-03:00,9.09
2020-12-09 14:47:24-03:00,9.09
2020-12-09 14:52:23-03:00,9.09
2020-12-09 14:52:25-03:00,9.09
2020-12-09 14:57:23-03:00,9.09
2020-12-09 14:57:25-03:00,9.09
2020-12-09 15:02:23-03:00,9.09
2020-12-09 15:02:25-03:00,9.09
2020-12-09 15:07:24-03:00,9.09
2020-12-09 15:07:25-03:00,9.09
2020-12-09 15:12:24-03:00,0.0
2020-12-09 15:12:26-03:00,0.0
2020-12-09 15:17:24-03:00,0.0
2020-12-09 15:17:26-03:00,0.0
2020-12-09 15:22:24-03:00,0.0
2020-12-09 15:22:26-03:00,0.0
2020-12-09 15:27:17-03:00,0.0
2020-12-09 15:27:19-03:00,0.0
2020-12-09 15:32:17-03:00,0.0
2020-12-09 15:32:19-03:00,0.0
2020-12-09 15:37:18-03:00,0.0
2020-12-09 15:37:19-03:00,0.0
2020-12-09 15:42:21-03:00,0.0
2020-12-09 15:42:30-03:00,0.0
2020-12-09 15:47:21-03:00,0.0
2020-12-09 15:47:31-03:00,0.0
2020-12-09 15:49:02-03:00,0.0
2020-12-09 15:52:21-03:00,0.0
2020-12-09 15:54:06-03:00,0.0
2020-12-09 15:57:22-03:00,0.0
2020-12-09 15:59:06-03:00,0.0
2020-12-09 16:02:22-03:00,0.0
2020-12-09 16:04:06-03:00,0.0
2020-12-09 16:07:22-03:00,0.0
2020-12-09 16:09:06-03:00,0.0
2020-12-09 16:12:23-03:00,9.09
2020-12-09 16:14:07-03:00,9.09
2020-12-09 16:17:29-03:00,9.09
2020-12-09 16:19:07-03:00,9.09
2020-12-09 16:21:56-03:00,9.09
2020-12-09 16:24:07-03:00,9.09
2020-12-09 16:27:26-03:00,9.09
2020-12-09 16:29:08-03:00,9.09
2020-12-09 16:32:28-03:00,9.09
2020-12-09 16:34:07-03:00,0.0
2020-12-09 16:37:29-03:00,0.0
2020-12-09 16:39:07-03:00,0.0
2020-12-09 16:42:30-03:00,0.0
2020-12-09 16:44:09-03:00,0.0
2020-12-09 16:47:30-03:00,0.0
2020-12-09 16:49:09-03:00,0.0
2020-12-09 16:52:30-03:00,9.09
2020-12-09 16:54:10-03:00,9.09
2020-12-09 16:57:32-03:00,9.09
2020-12-09 16:59:09-03:00,9.09
2020-12-09 17:02:32-03:00,9.09
2020-12-09 17:04:10-03:00,9.09
2020-12-09 17:07:32-03:00,9.09
2020-12-09 17:09:10-03:00,9.09
2020-12-09 17:12:32-03:00,9.09
2020-12-09 17:14:10-03:00,9.09
2020-12-09 17:17:33-03:00,9.09
2020-12-09 17:19:11-03:00,9.09
2020-12-09 17:22:33-03:00,0.0
2020-12-09 17:24:11-03:00,0.0
2020-12-09 17:27:33-03:00,0.0
2020-12-09 17:29:11-03:00,0.0
2020-12-09 17:32:33-03:00,0.0
2020-12-09 17:34:11-03:00,0.0
2020-12-09 17:37:34-03:00,0.0
2020-12-09 17:39:12-03:00,0.0
2020-12-09 17:42:33-03:00,0.0
2020-12-09 17:44:12-03:00,0.0
2020-12-09 17:47:33-03:00,9.09
2020-12-09 17:49:13-03:00,9.09
2020-12-09 17:52:34-03:00,9.09
2020-12-09 17:54:13-03:00,9.09
2020-12-09 17:57:35-03:00,9.09
2020-12-09 17:59:14-03:00,9.09
2020-12-09 18:02:35-03:00,9.09
2020-12-09 18:04:14-03:00,9.09
2020-12-09 18:07:35-03:00,9.09
2020-12-09 18:09:14-03:00,9.09
2020-12-09 18:12:36-03:00,9.09
2020-12-09 18:14:15-03:00,9.09
2020-12-09 18:17:36-03:00,9.09
2020-12-09 18:19:15-03:00,9.09
2020-12-09 18:22:36-03:00,9.09
2020-12-09 18:24:15-03:00,9.09
