date,APR Los Caleos >> Estanques Acumuladores >> Volumen Salida Bombas Elevadoras(26326),APR Los Caleos >> Pozos y Bombas Elevadoras >> Volumen Pozos(9919)
2020-12-01 20:54:26-03:00,,60908.0
2020-12-01 20:57:41-03:00,5536.0,
2020-12-01 20:59:27-03:00,,60908.0
2020-12-01 21:02:41-03:00,5536.0,
2020-12-01 21:04:26-03:00,,60908.0
2020-12-01 21:07:41-03:00,5536.0,
2020-12-01 21:09:27-03:00,,60908.0
2020-12-01 21:12:42-03:00,5536.0,
2020-12-01 21:14:27-03:00,,60908.0
2020-12-01 21:17:42-03:00,5536.0,
2020-12-01 21:19:27-03:00,,60908.0
2020-12-01 21:22:42-03:00,5536.0,
2020-12-01 21:24:28-03:00,,60908.0
2020-12-01 21:27:43-03:00,5536.0,
2020-12-01 21:29:28-03:00,,60908.0
2020-12-01 21:32:43-03:00,5536.0,
2020-12-01 21:34:28-03:00,,60908.0
